         17512671 function calls (17373053 primitive calls) in 103.279 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    25440    0.025    0.000    0.169    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/fft/helper.py:311(_prune_cache)
        2    0.000    0.000    0.168    0.084 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/pyplot.py:1326(tight_layout)
        2    0.000    0.000    0.168    0.084 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/figure.py:1995(tight_layout)
     1340    0.001    0.000    0.167    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/patches.py:691(get_patch_transform)
     7872    0.087    0.000    0.166    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/numpy/linalg/linalg.py:1822(det)
     1340    0.020    0.000    0.166    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/patches.py:675(_update_patch_transform)
  195/163    0.001    0.000    0.165    0.001 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:1743(_get_tick)
      480    0.001    0.000    0.164    0.000 /Users/hjfreyer/src/RJMCMC/matlab.py:46(ButterBandpass)
      480    0.001    0.000    0.163    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/scipy/signal/filter_design.py:2323(butter)
       42    0.002    0.000    0.163    0.004 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:966(_update_ticks)
      480    0.012    0.000    0.162    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/scipy/signal/filter_design.py:1824(iirfilter)
        8    0.001    0.000    0.162    0.020 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axes/_base.py:966(cla)
   181654    0.156    0.000    0.156    0.000 {built-in method numpy.core.multiarray._fastCopyAndTranspose}
     10/5    0.000    0.000    0.154    0.031 /Users/hjfreyer/.pyenv/versions/3.6.4/lib/python3.6/tkinter/__init__.py:1172(update_idletasks)
        5    0.000    0.000    0.154    0.031 /Users/hjfreyer/.pyenv/versions/3.6.4/lib/python3.6/tkinter/__init__.py:1997(__init__)
        5    0.152    0.030    0.152    0.030 {built-in method _tkinter.create}
        5    0.000    0.000    0.152    0.030 /Users/hjfreyer/.pyenv/versions/3.6.4/lib/python3.6/tkinter/__init__.py:743(callit)
        5    0.000    0.000    0.152    0.030 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/backends/backend_tkagg.py:321(idle_draw)
        2    0.000    0.000    0.151    0.075 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/tight_layout.py:262(get_tight_layout_figure)
        2    0.000    0.000    0.150    0.075 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/tight_layout.py:37(auto_adjust_subplotpars)
        5    0.000    0.000    0.149    0.030 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/tight_layout.py:129(<listcomp>)
        5    0.000    0.000    0.149    0.030 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axes/_base.py:3982(get_tightbbox)
    47058    0.029    0.000    0.147    0.000 /Users/hjfreyer/src/RJMCMC/pipeline.py:1087(_m3D)
1365154/1365069    0.146    0.000    0.146    0.000 {built-in method builtins.len}
      352    0.001    0.000    0.145    0.000 /Users/hjfreyer/.virtualenvs/mc/lib/python3.6/site-packages/matplotlib/axis.py:913(iter_ticks)
  1277630    0.143    0.000    0.143    0.000 {method 'append' of 'list' objects}
